"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"117",57.9,0,42.1,"Growth","High-lat shelf","Future climate","A",9,2,"Autumn primary production -> Sea-ice algae"
"118",54.84,0,45.16,"Survival","High-lat shelf","Future climate","A",9,2,"Autumn primary production -> Sea-ice algae"
"119",56.62,0,43.38,"Growth","High-lat shelf","Future climate","A",9,3,"Small copepods -> POM"
"120",55.24,0,44.76,"Survival","High-lat shelf","Future climate","A",9,3,"Small copepods -> POM"
"121",53.44,0,46.56,"Growth","High-lat shelf","Future climate","A",9,4,"Glacial melt -> Nutrients"
"122",51.62,0,48.38,"Survival","High-lat shelf","Future climate","A",9,4,"Glacial melt -> Nutrients"
"123",53.84,0,46.16,"Growth","High-lat shelf","Future climate","A",9,5,"POM -* Small copepods"
"124",52.92,0,47.08,"Survival","High-lat shelf","Future climate","A",9,5,"POM -* Small copepods"
"125",53.66,0,46.34,"Growth","High-lat shelf","Future climate","A",9,6,"Ice terraces -* Predation risk"
"126",41.48,0,58.52,"Survival","High-lat shelf","Future climate","A",9,6,"Ice terraces -* Predation risk"
"127",60.96,0,39.04,"Growth","High-lat shelf","Future climate","A",10,0,"Certain"
"128",55.4,0,44.6,"Survival","High-lat shelf","Future climate","A",10,0,"Certain"
"129",61.54,0,38.46,"Growth","High-lat shelf","Future climate","A",10,1,"Autumn primary production -> Marine snow"
"130",56.84,0,43.16,"Survival","High-lat shelf","Future climate","A",10,1,"Autumn primary production -> Marine snow"
"131",58.14,0,41.86,"Growth","High-lat shelf","Future climate","A",10,2,"Autumn primary production -> Sea-ice algae"
"132",54.58,0,45.42,"Survival","High-lat shelf","Future climate","A",10,2,"Autumn primary production -> Sea-ice algae"
"133",54.76,0,45.24,"Growth","High-lat shelf","Future climate","A",10,3,"Glacial melt -> Nutrients"
"134",52.32,0,47.68,"Survival","High-lat shelf","Future climate","A",10,3,"Glacial melt -> Nutrients"
"135",53.18,0,46.82,"Growth","High-lat shelf","Future climate","A",10,4,"Small copepods -> POM"
"136",51.78,0,48.22,"Survival","High-lat shelf","Future climate","A",10,4,"Small copepods -> POM"
"137",52.9,0,47.1,"Growth","High-lat shelf","Future climate","A",10,5,"POM -* Small copepods"
"138",51.84,0,48.16,"Survival","High-lat shelf","Future climate","A",10,5,"POM -* Small copepods"
"139",53.18,0,46.82,"Growth","High-lat shelf","Future climate","A",10,6,"Ice terraces -* Predation risk"
"140",39.62,0,60.38,"Survival","High-lat shelf","Future climate","A",10,6,"Ice terraces -* Predation risk"
"141",61.72,0,38.28,"Growth","High-lat shelf","Future climate","A",11,0,"Certain"
"142",55.74,0,44.26,"Survival","High-lat shelf","Future climate","A",11,0,"Certain"
"143",60,0,40,"Growth","High-lat shelf","Future climate","A",11,1,"Autumn primary production -> Marine snow"
"144",56.16,0,43.84,"Survival","High-lat shelf","Future climate","A",11,1,"Autumn primary production -> Marine snow"
"145",57.7,0,42.3,"Growth","High-lat shelf","Future climate","A",11,2,"Autumn primary production -> Sea-ice algae"
"146",55.02,0,44.98,"Survival","High-lat shelf","Future climate","A",11,2,"Autumn primary production -> Sea-ice algae"
"147",54.88,0,45.12,"Growth","High-lat shelf","Future climate","A",11,3,"Glacial melt -> Nutrients"
"148",52.5,0,47.5,"Survival","High-lat shelf","Future climate","A",11,3,"Glacial melt -> Nutrients"
"149",53.94,0,46.06,"Growth","High-lat shelf","Future climate","A",11,4,"POM -* Small copepods"
"150",52.42,0,47.58,"Survival","High-lat shelf","Future climate","A",11,4,"POM -* Small copepods"
"151",52.5,0,47.5,"Growth","High-lat shelf","Future climate","A",11,5,"Small copepods -> POM"
"152",51.48,0,48.52,"Survival","High-lat shelf","Future climate","A",11,5,"Small copepods -> POM"
"153",55.2,0,44.8,"Growth","High-lat shelf","Future climate","A",11,6,"Ice terraces -* Predation risk"
"154",41.34,0,58.66,"Survival","High-lat shelf","Future climate","A",11,6,"Ice terraces -* Predation risk"
"155",61.2,0,38.8,"Growth","High-lat shelf","Future climate","A",12,0,"Certain"
"156",56.18,0,43.82,"Survival","High-lat shelf","Future climate","A",12,0,"Certain"
"157",60.78,0,39.22,"Growth","High-lat shelf","Future climate","A",12,1,"Autumn primary production -> Marine snow"
"158",56.06,0,43.94,"Survival","High-lat shelf","Future climate","A",12,1,"Autumn primary production -> Marine snow"
"159",57.18,0,42.82,"Growth","High-lat shelf","Future climate","A",12,2,"Autumn primary production -> Sea-ice algae"
"160",54.3,0,45.7,"Survival","High-lat shelf","Future climate","A",12,2,"Autumn primary production -> Sea-ice algae"
"161",55.62,0,44.38,"Growth","High-lat shelf","Future climate","A",12,3,"Glacial melt -> Nutrients"
"162",53.9,0,46.1,"Survival","High-lat shelf","Future climate","A",12,3,"Glacial melt -> Nutrients"
"163",54.34,0,45.66,"Growth","High-lat shelf","Future climate","A",12,4,"POM -* Small copepods"
"164",52.34,0.02,47.64,"Survival","High-lat shelf","Future climate","A",12,4,"POM -* Small copepods"
"165",56.98,0,43.02,"Growth","High-lat shelf","Future climate","A",12,5,"Ice terraces -* Predation risk"
"166",42.44,0,57.56,"Survival","High-lat shelf","Future climate","A",12,5,"Ice terraces -* Predation risk"
"167",54,0,46,"Growth","High-lat shelf","Future climate","A",12,6,"Small copepods -> POM"
"168",40.2,0,59.8,"Survival","High-lat shelf","Future climate","A",12,6,"Small copepods -> POM"
"169",60.96,0,39.04,"Growth","High-lat shelf","Future climate","A",13,0,"Certain"
"170",55.98,0,44.02,"Survival","High-lat shelf","Future climate","A",13,0,"Certain"
"171",61.16,0,38.84,"Growth","High-lat shelf","Future climate","A",13,1,"Autumn primary production -> Marine snow"
"172",56.7,0,43.3,"Survival","High-lat shelf","Future climate","A",13,1,"Autumn primary production -> Marine snow"
"173",57.88,0,42.12,"Growth","High-lat shelf","Future climate","A",13,2,"Autumn primary production -> Sea-ice algae"
"174",54.78,0,45.22,"Survival","High-lat shelf","Future climate","A",13,2,"Autumn primary production -> Sea-ice algae"
"175",57.04,0,42.96,"Growth","High-lat shelf","Future climate","A",13,3,"POM -* Small copepods"
"176",54.66,0,45.34,"Survival","High-lat shelf","Future climate","A",13,3,"POM -* Small copepods"
"177",55.18,0,44.82,"Growth","High-lat shelf","Future climate","A",13,4,"Glacial melt -> Nutrients"
"178",51.76,0,48.24,"Survival","High-lat shelf","Future climate","A",13,4,"Glacial melt -> Nutrients"
"179",56.2,0,43.8,"Growth","High-lat shelf","Future climate","A",13,5,"Ice terraces -* Predation risk"
"180",42.5,0,57.5,"Survival","High-lat shelf","Future climate","A",13,5,"Ice terraces -* Predation risk"
"181",54.32,0,45.68,"Growth","High-lat shelf","Future climate","A",13,6,"Small copepods -> POM"
"182",41.56,0,58.44,"Survival","High-lat shelf","Future climate","A",13,6,"Small copepods -> POM"
"183",61.58,0,38.42,"Growth","High-lat shelf","Future climate","A",14,0,"Certain"
"184",57.34,0,42.66,"Survival","High-lat shelf","Future climate","A",14,0,"Certain"
"185",61.16,0,38.84,"Growth","High-lat shelf","Future climate","A",14,1,"Autumn primary production -> Marine snow"
"186",57.74,0,42.26,"Survival","High-lat shelf","Future climate","A",14,1,"Autumn primary production -> Marine snow"
"187",57,0,43,"Growth","High-lat shelf","Future climate","A",14,2,"Autumn primary production -> Sea-ice algae"
"188",54.68,0,45.32,"Survival","High-lat shelf","Future climate","A",14,2,"Autumn primary production -> Sea-ice algae"
"189",56.48,0,43.52,"Growth","High-lat shelf","Future climate","A",14,3,"POM -* Small copepods"
"190",53.66,0,46.34,"Survival","High-lat shelf","Future climate","A",14,3,"POM -* Small copepods"
"191",55.24,0,44.76,"Growth","High-lat shelf","Future climate","A",14,4,"Glacial melt -> Nutrients"
"192",53.06,0,46.94,"Survival","High-lat shelf","Future climate","A",14,4,"Glacial melt -> Nutrients"
"193",52.88,0,47.12,"Growth","High-lat shelf","Future climate","A",14,5,"Small copepods -> POM"
"194",51.72,0,48.28,"Survival","High-lat shelf","Future climate","A",14,5,"Small copepods -> POM"
"195",53.52,0,46.48,"Growth","High-lat shelf","Future climate","A",14,6,"Ice terraces -* Predation risk"
"196",40.86,0,59.14,"Survival","High-lat shelf","Future climate","A",14,6,"Ice terraces -* Predation risk"
"197",60.14,0,39.86,"Growth","High-lat shelf","Future climate","A",15,0,"Certain"
"198",55.9,0,44.1,"Survival","High-lat shelf","Future climate","A",15,0,"Certain"
"199",60.24,0,39.76,"Growth","High-lat shelf","Future climate","A",15,1,"Autumn primary production -> Marine snow"
